"Country","year","gmssugar","bmi","gdp","calories","Region","Digraph"
"Albania","1980",46.58,25.22533,1060.68460246494,2659.95,"Europe & Central Asia","AL"
"Albania","1981",46.58,25.23981,1099.51270187282,2747.51,"Europe & Central Asia","AL"
"Albania","1982",46.58,25.25636,1110.51226134227,2691.75,"Europe & Central Asia","AL"
"Albania","1983",46.58,25.27176,1101.33565379813,2840.86,"Europe & Central Asia","AL"
"Albania","1984",46.58,25.27901,1065.23534690326,2758.98,"Europe & Central Asia","AL"
"Albania","1985",46.58,25.28669,1059.86574438657,2607.83,"Europe & Central Asia","AL"
"Albania","1986",49.32,25.29451,1091.56055727185,2738.9,"Europe & Central Asia","AL"
"Albania","1987",49.32,25.30217,1054.24780308217,2552.18,"Europe & Central Asia","AL"
"Albania","1988",49.32,25.3045,1013.62900810671,2647.18,"Europe & Central Asia","AL"
"Albania","1989",49.32,25.31944,1092.4745722147,2629.8,"Europe & Central Asia","AL"
"Albania","1990",52.06,25.32357,977.765529827164,2656.37,"Europe & Central Asia","AL"
"Albania","1991",38.36,25.28452,687.991872506745,2388.87,"Europe & Central Asia","AL"
"Albania","1992",52.06,25.23077,643.285847977651,2650.29,"Europe & Central Asia","AL"
"Albania","1993",79.45,25.21192,714.241431508749,2855.45,"Europe & Central Asia","AL"
"Albania","1994",101.37,25.22115,784.5831479144,2938.79,"Europe & Central Asia","AL"
"Albania","1995",54.8,25.25874,899.782936847142,2825.83,"Europe & Central Asia","AL"
"Albania","1996",68.49,25.31097,990.653204029821,2979.3,"Europe & Central Asia","AL"
"Albania","1997",60.27,25.33988,895.56097296468,2746.72,"Europe & Central Asia","AL"
"Albania","1998",60.27,25.39116,1013.51431710214,2790.7,"Europe & Central Asia","AL"
"Albania","1999",57.53,25.46555,1118.17150532779,2891.76,"Europe & Central Asia","AL"
"Albania","2000",65.75,25.55835,1200.13743711751,2832.07,"Europe & Central Asia","AL"
"Albania","2001",68.49,25.66701,1281.84280388254,2861.18,"Europe & Central Asia","AL"
"Albania","2002",71.23,25.77167,1313.72272525926,2864.93,"Europe & Central Asia","AL"
"Albania","2003",65.75,25.87274,1381.04083217492,2838.24,"Europe & Central Asia","AL"
"Algeria","1980",82.19,22.25703,1876.07563869197,2657.34,"Middle East & North Africa","DZ"
"Algeria","1981",82.19,22.34745,1869.62127900075,2685.14,"Middle East & North Africa","DZ"
"Algeria","1982",73.97,22.43647,1924.61408565743,2656.45,"Middle East & North Africa","DZ"
"Algeria","1983",82.19,22.52105,1963.36510433204,2637.55,"Middle East & North Africa","DZ"
"Algeria","1984",82.19,22.60633,2008.4721757979,2584.16,"Middle East & North Africa","DZ"
"Algeria","1985",79.45,22.69501,2020.08722020044,2700.86,"Middle East & North Africa","DZ"
"Algeria","1986",84.93,22.76979,1969.76421690317,2717.66,"Middle East & North Africa","DZ"
"Algeria","1987",93.15,22.84096,1902.06109765119,2724.66,"Middle East & North Africa","DZ"
"Algeria","1988",79.45,22.90644,1833.15287804599,2795,"Middle East & North Africa","DZ"
"Algeria","1989",84.93,22.97931,1864.71258205694,2862.84,"Middle East & North Africa","DZ"
"Algeria","1990",82.19,23.046,1832.7433693967,2856.21,"Middle East & North Africa","DZ"
"Algeria","1991",79.45,23.11333,1766.66083880419,2835.47,"Middle East & North Africa","DZ"
"Algeria","1992",73.97,23.18776,1755.97369770475,2972.77,"Middle East & North Africa","DZ"
"Algeria","1993",76.71,23.25764,1680.37985562909,2971.61,"Middle East & North Africa","DZ"
"Algeria","1994",73.97,23.32273,1630.38150761552,2865.2,"Middle East & North Africa","DZ"
"Algeria","1995",73.97,23.39526,1660.00419222038,2891.3,"Middle East & North Africa","DZ"
"Algeria","1996",73.97,23.46811,1698.3338226989,2893.72,"Middle East & North Africa","DZ"
"Algeria","1997",79.45,23.5416,1690.23753835839,2844.07,"Middle East & North Africa","DZ"
"Algeria","1998",54.8,23.61592,1750.65089993308,2904.07,"Middle East & North Africa","DZ"
"Algeria","1999",60.27,23.69486,1781.14246394998,2957.91,"Middle East & North Africa","DZ"
"Algeria","2000",82.19,23.77659,1794.40523316556,2928.84,"Middle East & North Africa","DZ"
"Algeria","2001",79.45,23.86256,1814.41513001441,3003.63,"Middle East & North Africa","DZ"
"Algeria","2002",82.19,23.95294,1871.921986165,3034.33,"Middle East & North Africa","DZ"
"Algeria","2003",84.93,24.05243,1971.51280258447,3073.26,"Middle East & North Africa","DZ"
"Angola","1985",30.14,20.94857,362.476701449228,1640.78,"Sub-Saharan Africa","AO"
"Angola","1986",30.14,20.9603,362.354136034834,1598.53,"Sub-Saharan Africa","AO"
"Angola","1987",30.14,20.98025,381.157524473169,1586.87,"Sub-Saharan Africa","AO"
"Angola","1988",30.14,21.01375,392.772807154655,1559.92,"Sub-Saharan Africa","AO"
"Angola","1989",32.88,21.05269,384.42360185914,1540.59,"Sub-Saharan Africa","AO"
"Angola","1990",35.62,21.09007,372.794513474121,1589.55,"Sub-Saharan Africa","AO"
"Angola","1991",32.88,21.12136,357.31084753235,1561.63,"Sub-Saharan Africa","AO"
"Angola","1992",30.14,21.14987,322.09296787346,1576.1,"Sub-Saharan Africa","AO"
"Angola","1993",27.4,21.13938,234.669407323786,1511.01,"Sub-Saharan Africa","AO"
"Angola","1994",21.92,21.14186,235.204999150196,1589.52,"Sub-Saharan Africa","AO"
"Angola","1995",24.66,21.16022,251.897955294535,1634.08,"Sub-Saharan Africa","AO"
"Angola","1996",27.4,21.19076,272.291191870514,1674.3,"Sub-Saharan Africa","AO"
"Angola","1997",32.88,21.22621,286.004547251252,1676.52,"Sub-Saharan Africa","AO"
"Angola","1998",30.14,21.27082,297.421277526885,1700.9,"Sub-Saharan Africa","AO"
"Angola","1999",38.36,21.31954,298.573479294048,1757.79,"Sub-Saharan Africa","AO"
"Angola","2000",27.4,21.3748,298.405842933873,1763.08,"Sub-Saharan Africa","AO"
"Angola","2001",32.88,21.43664,297.901683646032,1784.16,"Sub-Saharan Africa","AO"
"Angola","2002",35.62,21.51765,329.565594272163,1833.9,"Sub-Saharan Africa","AO"
"Angola","2003",35.62,21.59924,328.777995072601,1857.8,"Sub-Saharan Africa","AO"
"Antigua and Barbuda","1980",104.11,23.31424,4639.18768603469,1916.45,"America","AG"
"Antigua and Barbuda","1981",115.07,23.39054,4869.479426267,2015.74,"America","AG"
"Antigua and Barbuda","1982",93.15,23.45883,4936.89236411724,1896.1,"America","AG"
"Antigua and Barbuda","1983",84.93,23.53735,5244.92902943782,1964.98,"America","AG"
"Antigua and Barbuda","1984",76.71,23.63584,5850.6561137711,2182.71,"America","AG"
"Antigua and Barbuda","1985",79.45,23.73109,6422.81185867619,2126.31,"America","AG"
"Antigua and Barbuda","1986",79.45,23.83449,7360.34615736232,2180.11,"America","AG"
"Antigua and Barbuda","1987",68.49,23.93649,8097.6520812702,2196.5,"America","AG"
"Antigua and Barbuda","1988",82.19,24.05364,8651.25070836931,2364.34,"America","AG"
"Antigua and Barbuda","1989",84.93,24.16347,9220.86107524723,2489.2,"America","AG"
"Antigua and Barbuda","1990",87.67,24.26782,9454.02124577918,2474.33,"America","AG"
"Antigua and Barbuda","1991",87.67,24.36568,9561.69316898228,2557.14,"America","AG"
"Antigua and Barbuda","1992",87.67,24.45644,9484.40312300584,2510.77,"America","AG"
"Antigua and Barbuda","1993",82.19,24.54096,9775.60140007079,2323.21,"America","AG"
"Antigua and Barbuda","1994",87.67,24.60945,10136.6996402576,2234.21,"America","AG"
"Antigua and Barbuda","1995",90.41,24.66461,9466.09534149999,2184.22,"America","AG"
"Antigua and Barbuda","1996",90.41,24.72544,9844.76196919292,2170.37,"America","AG"
"Antigua and Barbuda","1997",87.67,24.78714,10058.4873217928,2179.33,"America","AG"
"Antigua and Barbuda","1998",93.15,24.84936,10237.410986247,2182.8,"America","AG"
"Antigua and Barbuda","1999",90.41,24.91721,9863.38799350069,2200.01,"America","AG"
"Antigua and Barbuda","2000",93.15,24.99158,10143.3680764924,2178.78,"America","AG"
"Antigua and Barbuda","2001",93.15,25.05857,9639.57766628839,2077.87,"America","AG"
"Antigua and Barbuda","2002",93.15,25.13039,9753.3083112259,2073.33,"America","AG"
"Antigua and Barbuda","2003",95.89,25.20713,10241.6848388146,2077.55,"America","AG"
"Argentina","1980",109.59,25.37913,7540.68526345994,3221.99,"America","AR"
"Argentina","1981",101.37,25.44951,7004.45874005954,3201.05,"America","AR"
"Argentina","1982",101.37,25.50242,6556.34758572893,3064.79,"America","AR"
"Argentina","1983",109.59,25.55644,6707.05685968279,2999.66,"America","AR"
"Argentina","1984",112.33,25.61271,6751.82011144354,3046.75,"America","AR"
"Argentina","1985",112.33,25.66593,6146.15545473564,3130.71,"America","AR"
